objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
206733,SN,2026jzl,250.06901189231,-10.992903407692,0.067,4,SN Ib,48,ZTF,48,ZTF,2026-04-15 11:04:29.997,20.2607,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-04-18 11:19:12,"ZTF26aatbuhc, ATLAS26eqi, GOTO26dyb",2026TNSTR1705....1S,2026TNSCR2002....1L,2026-04-18 11:19:14,2026-05-08 13:52:55
204491,SN,2026gwx,172.045322491,25.6566658587,0.00913,4,SN Ib,48,ZTF,48,ZTF,2026-03-20 05:39:38.001,20.8896,111,r,"Nabeel Rehemtulla (CIERA, NU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-03-22 11:30:48,"ZTF26aaodgsa, GOTO26cmj, ATLAS26dmo, WFST260320nhhv, PS26ash,",2026TNSTR1235....1R,"2026TNSCR1254....1Y, 2026TNSCR1364....1S",2026-03-22 11:30:51,2026-04-05 07:26:39
175924,SN,2025fmr,232.312223782,80.7821164045,0.04,4,SN Ib,48,ZTF,48,ZTF,2025-03-09 09:03:23.999,20.0821,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-03-23 13:21:05,"ZTF25aakeqyr, GOTO25bts, ATLAS25dut, PS25dbb",2025TNSTR1106....1S,"2025TNSCR1652....1S, 2026TNSCR1362....1U",2025-03-23 13:21:07,2026-03-31 00:05:22
202549,SN,2026euq,148.837421,3.212775,0.26,4,SN Ib,81,SGLF,165,Rubin,2026-01-09 07:44:38.000,23.06,163,i,"I. Pérez-Fournon (IAC and ULL), D. Cano-Morales, I. Correa-Plasencia, A.E. Hernández-Díaz,  E. Lekaroz-Urriza, M. Quintana-Ansaldo (ULL), F. Poidevin (IAC and ULL), C. Jiménez Ángel (GRANTECAN), R. Shirley (MPE), R. Marques-Chaves (Univ. of Geneva), and S. Geier (GRANTECAN & IAC) on behalf of SGLF",2026-03-02 20:36:27,LSST-P-DO-313963406691402058,2026TNSTR.892....1P,2026TNSCR1291....1D,2026-03-02 20:36:28,2026-03-25 20:15:54
202978,SN,2026fim,137.7085217,-8.8904027,0.006131,4,SN Ib,48,ZTF,48,ZTF,2026-03-09 04:23:00.000,19.6954,111,r,"Nabeel Rehemtulla (CIERA, NU), Wynn Jacobson-Galán (Caltech), Theophile du Laz (Caltech) on behalf of ZTF",2026-03-12 06:51:21,ZTF26aakdoou,2026TNSTR1038....1R,2026TNSCR1296....1R,2026-03-12 06:51:23,2026-03-25 05:40:39
200531,SN,2026cfz,179.0805639,47.5994008,0.055,4,SN Ib,48,ZTF,48,ZTF,2026-02-04 09:13:31.002,19.8683,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-02-06 15:52:56,"ZTF26aaffzys, WFST260131apetj",2026TNSTR.508....1S,2026TNSCR.599....1K,2026-02-06 15:52:59,2026-02-11 06:45:58
199417,SN,2026aur,256.3664058,75.406593,0.016231,4,SN Ib,48,ZTF,48,ZTF,2026-01-09 11:48:00.002,19.2987,111,r,"Nabeel Rehemtulla (CIERA, NU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-01-20 15:57:15,ZTF26aadeidx,2026TNSTR.253....1R,2026TNSCR.464....1D,2026-01-20 15:57:19,2026-02-03 16:27:52
193867,SN,2025affj,207.8871153,43.818268,0.032723,4,SN Ib,48,ZTF,48,ZTF,2025-11-25 12:17:23.997,19.3068,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-11-29 14:20:44,ZTF25aceqftw,2025TNSTR4761....1S,2026TNSCR..15....1D,2025-11-29 14:20:45,2026-01-02 21:25:35
195358,SN,2025ahji,359.7658189,1.7236295,0.022175,4,SN Ib,48,ZTF,48,ZTF,2025-12-12 04:55:10.997,20.4774,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-12-18 05:29:23,"ZTF25acipypu, ATLAS25qey, GOTO25mwa",2025TNSTR5046....1S,2025TNSCR5137....1D,2025-12-18 05:29:26,2025-12-22 15:44:47
188472,SN,2025xll,261.1006298,44.9381458,0.027599,4,SN Ib,48,ZTF,48,ZTF,2025-09-08 04:21:35.000,19.8626,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-09-14 18:33:53,ZTF25abqicvg,2025TNSTR3694....1S,2025TNSCR3922....1D,2025-09-14 18:33:55,2025-09-29 22:59:58
