objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
204620,SN,2026hbn,200.457594138,-22.4762664881,0.023896,5,SN Ic,48,ZTF,48,ZTF,2026-03-21 10:33:40.000,20.3619,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-03-24 10:43:58,"ZTF26aapgavf, GOTO26cjo, ATLAS26dip, BGEM J132149.82-222834.4, PS26bbi",2026TNSTR1267....1S,2026TNSCR1744....1S,2026-03-24 10:43:59,2026-04-20 17:23:08
205766,SN,2026iqu,159.8521657,-11.9442499,0.0286,5,SN Ic,48,ZTF,48,ZTF,2026-04-07 04:59:05.003,19.336,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-04-07 06:28:11,"ZTF26aarkqap, GOTO26cws, ATLAS26dwc",2026TNSTR1476....1S,2026TNSCR1740....1D,2026-04-07 06:28:12,2026-04-20 04:56:44
205767,SN,2026iqv,142.7339989,-12.7083573,0.01743,5,SN Ic,48,ZTF,48,ZTF,2026-04-07 04:03:25.004,18.4429,111,r,"Nabeel Rehemtulla (CIERA, NU), Wynn Jacobson-Galán (Caltech), Theophile du Laz (Caltech) on behalf of ZTF",2026-04-07 06:28:41,ZTF20acwclnm,2026TNSTR1477....1R,2026TNSCR1683....1L,2026-04-07 06:28:43,2026-04-17 06:33:15
202659,SN,2026exc,156.194393754,14.9760128707,0.042587,5,SN Ic,48,ZTF,48,ZTF,2026-03-06 04:56:07.995,19.213,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-03-06 07:47:56,"ZTF26aajnayv, GOTO26brm, ATLAS26ctw, BGEM J102446.66+145833.4, PS26axo",2026TNSTR.940....1S,2026TNSCR1147....1J,2026-03-06 07:47:58,2026-04-10 10:33:14
201235,SN,2026def,244.949648518,3.11947829239,0.027929,5,SN Ic,48,ZTF,48,ZTF,2026-02-10 13:18:34.001,19.665,111,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2026-02-14 14:05:36,"ZTF26aagrmky, GOTO26axe, ATLAS26bzc, PS26akv",2026TNSTR.633....1S,2026TNSCR.875....1R,2026-02-14 14:05:37,2026-02-27 22:28:27
191049,SN,2025abdd,118.204136127,69.0040988267,0.01298,5,SN Ic,48,ZTF,48,ZTF,2025-10-20 09:20:43.995,19.8061,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-10-21 12:37:55,"ZTF25abyevmr, ATLAS25nbj, GOTO25jhq, , PS26rx",2025TNSTR4230....1S,"2025TNSCR4440....1S, 2025TNSCR4809....1N",2025-10-21 12:37:57,2026-02-04 16:50:24
195211,SN,2025ahds,328.01789694444,33.572441822222,0.03,5,SN Ic,48,ZTF,48,ZTF,2025-12-14 02:16:02.000,19.8465,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-12-17 05:16:21,"ZTF25achlrsy, ATLAS25pvq, GOTO25lyf",2025TNSTR5016....1S,2026TNSCR.261....1S,2025-12-17 05:16:23,2026-01-20 23:09:03
193916,SN,2025afhg,147.27895987,2.49797083833,0.020347,5,SN Ic,48,ZTF,48,ZTF,2025-11-26 09:57:02.001,20.1912,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-11-30 11:01:08,"ZTF25acffrxl, GOTO25kwc, PS25klt",2025TNSTR4772....1S,2026TNSCR..15....1D,2025-11-30 11:01:10,2026-01-02 21:24:22
189891,SN,2025zmx,28.2254893021,36.055384257,0.020431,5,SN Ic,81,SGLF,48,ZTF,2025-10-03 09:46:11.000,19.972,110,g,"I. Pérez-Fournon (IAC and ULL), D. Cano-Morales, I. Correa-Plasencia, A.E. Hernández-Díaz,  M. Quintana-Ansaldo,  E. Lekaroz-Urriza (ULL), F. Poidevin (IAC and ULL), C. Jiménez Ángel (GRANTECAN), R. Shirley (MPE), R. Marques-Chaves (Univ. of Geneva), and S. Geier (GRANTECAN & IAC) on behalf of SGL",2025-10-03 11:44:00,"ZTF25abvbjre, ATLAS25mjl, GOTO25ivw, PS25moq, WFST251011ddyln",2025TNSTR3982....1P,2025TNSCR4216....1S,2025-10-03 11:44:01,2026-01-02 00:19:21
188619,SN,2025xqu,2.7971679025,1.80406475611,0.0388,5,SN Ic,48,ZTF,48,ZTF,2025-09-15 06:37:42.003,19.3047,110,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2025-09-15 17:30:59,"ZTF25abqvssg, PS25hnh, GOTO25hbe, , ATLAS18wsq",2025TNSTR3712....1S,2025TNSCR3919....1J,2025-09-15 17:31:01,2025-12-31 15:39:09
