"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"207943","SN 2026loz","13:26:37.234","-12:06:11.00","SN Ia","0.141","","","GOTO, ZTF","GOTO, ZTF","SCAT","GOTO, ZTF","GOTO26ejj","GOTO-S - GOTO-3, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.9","L-GOTO","2026-05-07 14:51:45.792","GOTO_bot","","","2026TNSTR1968....1O","2026TNSCR1999....1H","",""
"207922","SN 2026log","15:38:25.317","+02:50:28.66","SN Ia","0.076221","LEDA 1238879","0.07622","ALeRCE, GOTO, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS, GOTO, ZTF","ZTF26aauxkmg","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.7549","g-ZTF","2026-05-07 08:51:56.998","ALeRCE","","","2026TNSTR1964....1M","2026TNSCR2000....1F","",""
"207908","SN 2026lns","13:29:49.691","-05:45:05.96","SN Ia","0.0686","","","ZTF, GOTO, LAST, ATLAS","ZTF, GOTO, LAST, ATLAS","ZTF","ATLAS, GOTO, LAST, ZTF","ZTF26aauvdne","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-S - GOTO-3, LAST - LAST-Cam, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.2662","r-ZTF","2026-05-07 05:03:27.996","Fritz","","","2026TNSTR1975....1S","","",""
"207886","SN 2026lmw","13:07:35.674","+15:13:24.73","SN Ia","0.0776178","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF26aaurvzt","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.2447","g-ZTF","2026-05-02 06:00:17.003","Fritz","","","2026TNSTR1975....1S","2026TNSCR2000....1F","",""
"207830","SN 2026lky","12:45:09.372","-35:13:48.39","SN Ia","0.056","","","GOTO, ATLAS","GOTO, ATLAS","ePESSTO+","ATLAS, GOTO","GOTO26edr","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.76","L-GOTO","2026-05-05 10:22:43.680","GOTO_bot","","","2026TNSTR1940....1O","2026TNSCR1962....1K","",""
"207819","SN 2026lkn","12:49:29.093","-11:24:12.79","SN","0.047","","","GOTO, ATLAS, ZTF, Pan-STARRS","GOTO, ATLAS, ZTF, Pan-STARRS","ePESSTO+","ATLAS, GOTO, Pan-STARRS, ZTF","GOTO26edu","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.68","L-GOTO","2026-05-05 10:10:28.416","GOTO_bot","","","2026TNSTR1940....1O","2026TNSCR1962....1K","",""
"207800","SN 2026ljy","12:35:42.787","-04:05:03.13","SN Ia","0.06","","","ATLAS, GOTO, ZTF, Fink","ATLAS, GOTO, ZTF","ePESSTO+","ATLAS, GOTO, ZTF","ATLAS26fdy","ATLAS-CHL - ATLAS-04, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.773","orange-ATLAS","2026-05-05 03:04:54.624","ATLAS_Bot1","","","2026TNSTR1938....1T","2026TNSCR1980....1C","",""
"207797","SN 2026ljv","15:03:12.643","+44:22:24.77","SN Ia","0.04","","","ATLAS, ZTF, GOTO, WFST","ATLAS, ZTF, GOTO, WFST","ZTF","ATLAS, GOTO, WFST, ZTF","ATLAS26fdt","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam, WFST - WFST-WFC","P60 - SEDM","1","1","","17.392","orange-ATLAS","2026-05-04 09:43:12.000","ATLAS_Bot1","","","2026TNSTR1938....1T","2026TNSCR1982....1J","",""
"207786","SN 2026ljl","22:27:22.588","-19:36:17.23","SN Ia","0.04","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26fda","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3","ESO-NTT - EFOSC2-NTT","1","1","","17.957","orange-ATLAS","2026-05-04 03:08:14.208","ATLAS_Bot1","","","2026TNSTR1928....1T","2026TNSCR1949....1K","",""
"207743","SN 2026lhu","14:24:23.100","+25:47:19.64","SN Ia","0.069","","","ATLAS, GOTO, WFST","ATLAS, GOTO, WFST","SCAT","ATLAS, GOTO, WFST","ATLAS26fch","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, WFST - WFST-WFC","UH88 - SNIFS","1","1","","18.36","orange-ATLAS","2026-05-02 10:18:50.400","ATLAS_Bot1","","","2026TNSTR1923....1T","2026TNSCR1937....1D","",""
"207689","SN 2026lga","16:12:24.415","+29:24:20.15","SN Ia","0.032","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS","ATLAS26fbw","ATLAS-MLO - ATLAS-01, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2, PS2 - GPC2","UH88 - SNIFS","1","1","","18.746","orange-ATLAS","2026-04-26 10:32:07.008","ATLAS_Bot1","","","2026TNSTR1916....1T","2026TNSCR1937....1D","",""
"207676","SN 2026lfo","18:53:41.633","+49:38:08.29","SN Ia-91T-like","0.0784","","","ATLAS, GOTO","ATLAS, GOTO","SCAT","ATLAS, GOTO","ATLAS26fbq","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-2","UH88 - SNIFS","1","1","","18.927","wide-ATLAS","2026-05-02 03:17:28.896","ATLAS_Bot1","","","2026TNSTR1916....1T","2026TNSCR1937....1D","",""
"207674","SN 2026lfm","09:25:34.567","-13:57:00.15","SN Ic","0.037","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","ePESSTO+","ATLAS, GOTO, ZTF","ATLAS26fbo","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.584","orange-ATLAS","2026-05-02 01:12:38.880","ATLAS_Bot1","","","2026TNSTR1916....1T","2026TNSCR1949....1K","",""
"207663","SN 2026lfb","10:55:40.295","+15:36:37.21","SN Ia","0.145","","","ZTF, GOTO, ATLAS, Fink","ZTF, GOTO, ATLAS","ZTF","ATLAS, GOTO, ZTF","ZTF26aaurnvv","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.7805","i-ZTF","2026-04-29 04:27:39.997","Fritz","","","2026TNSTR1920....1S","2026TNSCR2037....1F","",""
"207645","SN 2026lel","10:00:52.913","+09:08:18.26","SN Ia","0.058","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ePESSTO+","ATLAS, ZTF","ZTF26aaulhso","ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.5532","r-ZTF","2026-04-29 05:36:34.997","Fritz","","","2026TNSTR1909....1S","2026TNSCR1949....1K","",""
"207636","SN 2026lec","22:39:55.140","-22:09:39.46","SN IIb","0.04","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26ezs","ATLAS-CHL - ATLAS-04, GOTO-N - GOTO-2, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.621","orange-ATLAS","2026-04-27 09:22:12.288","ATLAS_Bot1","","","2026TNSTR1906....1T","2026TNSCR1949....1K","",""
